Character,Line,Tokens
Barney, hi have you met ted ,"['hi', 'met', 'ted']"
Ted, hi im ted,"['hi', 'ted']"
Ted,its a very pretty name,"['pretty', 'name']"
Marshall,hey,['hey']
Lily,urgh im exhausted it was finger painting day at school and a five year old boy  got to second base with me wow youre cooking,"['urgh', 'exhausted', 'finger', 'painting', 'day', 'school', 'five', 'year', 'old', 'boy', 'second', 'base', 'wow', 'cooking']"
Marshall,yes i am,[]
Lily,aww are you sure thats a good idea after last time you looked really creepy without eyebrows,"['aww', 'sure', 'good', 'idea', 'last', 'time', 'looked', 'really', 'creepy', 'without', 'eyebrows']"
Marshall,i can handle this im full of surprises tonight,"['handle', 'full', 'surprises', 'tonight']"
Lily,so theres more surprises like what,"['theres', 'surprises']"
Marshall,boogity boo and thats all of them im goanna go cook ,"['boogity', 'boo', 'goanna', 'cook']"
Ted,im so happy for marshall i really am i just couldnt imagine settling down right now,"['happy', 'marshall', 'really', 'imagine', 'settling', 'right']"
Ted,well maybe eventually some fall day possibly in central park simple ceremony well write our own vows butehno dj people will dance im not going to worry about it damn it why did marshall have to get engaged  yeah nothing hotter than a guy planning out his own imaginary wedding huh,"['maybe', 'eventually', 'fall', 'day', 'possibly', 'central', 'park', 'simple', 'ceremony', 'write', 'vows', 'butehno', 'dj', 'people', 'dance', 'going', 'worry', 'damn', 'marshall', 'engaged', 'nothing', 'hotter', 'guy', 'planning', 'imaginary', 'wedding', 'huh']"
Ted,well youre clearly drunk  one more for the lady,"['clearly', 'drunk', 'one', 'lady']"
Marshall,okay look what i got ,['look']
Lily,awhoney champagne ,"['awhoney', 'champagne']"
Marshall, yeah ,[]
Lily, no you are too old to be scared to open a bottle of champagne,"['old', 'scared', 'open', 'bottle', 'champagne']"
Marshall,im not scared,['scared']
Lily,then open it,['open']
Marshall,fine  please open it ,"['fine', 'please', 'open']"
Lily,you are unbelievable marshall no,"['unbelievable', 'marshall']"
Marshall, will you marry me,['marry']
Ted, you wanna go out sometime,['sometime']
Lily,of course you idiot ,"['course', 'idiot']"
Ted,sup carl,"['sup', 'carl']"
Marshall,i promised ted we wouldnt do that,"['promised', 'ted']"
Lily,did you know theres a pop tart under your fridge,"['know', 'theres', 'pop', 'tart', 'fridge']"
Marshall,no but dibs wheres that champagne i wanna drink a toast with my fianc,"['dibs', 'wheres', 'champagne', 'drink', 'toast', 'fianc']"
Lily,aww ,['aww']
Marshall,i dont know why i was so scared of this pretty easy right ,"['know', 'scared', 'pretty', 'easy', 'right']"
Lily,nan,['nan']
Marshall, oh,[]
Ted,why am i freaking out all of a sudden this is crazy im not ready to settle down,"['freaking', 'sudden', 'crazy', 'ready', 'settle']"
Barney, how does carl land a lebanese girl,"['carl', 'land', 'lebanese', 'girl']"
Ted,its always been dont even think about it till youre thirty,"['always', 'even', 'think', 'till', 'thirty']"
Barney,exactlythe guy doesnt even own a suit,"['exactlythe', 'guy', 'even', 'suit']"
Ted,plus marshalls found the love of his life even if i was ready which im not but if i was its like okay im ready where is she ,"['plus', 'marshalls', 'found', 'love', 'life', 'even', 'ready', 'ready']"
Ted,hey barney see that girl,"['hey', 'barney', 'see', 'girl']"
Barney, hey have you met ted,"['hey', 'met', 'ted']"
Robin,let me guess  ted,"['let', 'guess', 'ted']"
Marshall,im sorry lily im so sorry take us to the hospital,"['sorry', 'lily', 'sorry', 'take', 'us', 'hospital']"
Lily,hit me please this guy could barely even spank me in bed for fun hes all like  oh did that hurt and im like come on let me have it you pansy  wow complete stranger,"['hit', 'please', 'guy', 'could', 'barely', 'even', 'spank', 'bed', 'fun', 'hes', 'hurt', 'come', 'let', 'pansy', 'wow', 'complete', 'stranger']"
Ted,so what do you do,[]
Robin,im a reporter for metro news ,"['reporter', 'metro', 'news']"
Ted, oh,[]
Robin,well kind of a reporter i do those dumb little fluff pieces at the end of the news you know likeummonkey that can play the ukulele im hoping to get some bigger stories soon,"['kind', 'reporter', 'dumb', 'little', 'fluff', 'pieces', 'end', 'news', 'know', 'likeummonkey', 'play', 'ukulele', 'hoping', 'bigger', 'stories', 'soon']"
Ted,bigger like uh gorilla with an upright bass sorry youre really pretty  oh your friends dont seem too happy,"['bigger', 'uh', 'gorilla', 'upright', 'bass', 'sorry', 'really', 'pretty', 'friends', 'seem', 'happy']"
Robin,yeah see the one in the middle just got dumped by her boyfriend so tonight every guy is the enemy,"['see', 'one', 'middle', 'dumped', 'boyfriend', 'tonight', 'every', 'guy', 'enemy']"
Ted,you know if you dont make your friend feel better you could throw a drink at my face i dont mind,"['know', 'make', 'friend', 'feel', 'better', 'could', 'throw', 'drink', 'face', 'mind']"
Robin,she would love that it does look fun in the movies,"['love', 'look', 'fun', 'movies']"
Ted,hey you wanna have dinner with me saturday night,"['hey', 'dinner', 'saturday', 'night']"
Robin,oh i cant im going to orlando for a week on friday some guys attempting to make a big  so my news is covering it,"['cant', 'going', 'orlando', 'week', 'friday', 'guys', 'attempting', 'make', 'big', 'news', 'covering']"
Ted,thats going to take a week,"['going', 'take', 'week']"
Robin,yeah hes going to eat it too its another record,"['hes', 'going', 'eat', 'another', 'record']"
Ted,uh i know this is a long shot but how about tomorrow night,"['uh', 'know', 'long', 'shot', 'tomorrow', 'night']"
Robin, yeah  what the hell  jerk  that was fun,"['hell', 'jerk', 'fun']"
Barney, dewait for itnied denied,"['dewait', 'itnied', 'denied']"
Ted,were going out tomorrow night,"['going', 'tomorrow', 'night']"
Barney,i thought we were playing laser tag tomorrow night,"['thought', 'playing', 'laser', 'tag', 'tomorrow', 'night']"
Ted,yeah i was never going to go play laser tag ,"['never', 'going', 'play', 'laser', 'tag']"
Robin,wow that is one badass blue french horn,"['wow', 'one', 'badass', 'blue', 'french', 'horn']"
Ted,yeah,[]
Robin,mhmm,['mhmm']
Ted,sort of looks like a smurf pens,"['sort', 'looks', 'smurf', 'pens']"
Marshall,lilly,['lilly']
Lily,how long have you been sitting there stupid eye patch,"['long', 'sitting', 'stupid', 'eye', 'patch']"
Ted,mom dad i have found the future mrs ted mosby marshall how have i always described my perfect woman,"['mom', 'dad', 'found', 'future', 'mrs', 'ted', 'mosby', 'marshall', 'always', 'described', 'perfect', 'woman']"
Marshall,oh lets see  she likes dogs,"['lets', 'see', 'likes', 'dogs']"
Robin,ive got five dogs,"['five', 'dogs']"
Robin,i love a scotch thats old enough to order its own scotch,"['love', 'scotch', 'old', 'enough', 'order', 'scotch']"
Marshall,can quote obscure lines from ghostbusters,"['quote', 'obscure', 'lines', 'ghostbusters']"
Robin,ray when someone asks you if youre a god you say yes,"['ray', 'someone', 'asks', 'god', 'say']"
Ted,and im saving the best for last,"['saving', 'best', 'last']"
Robin,do you want these  i hate olives,"['want', 'hate', 'olives']"
Marshall,she hates olives awesome,"['hates', 'olives', 'awesome']"
Lily,the olive theory,"['olive', 'theory']"
Ted,the olive theory is based on my friends marshall and lily he hates olives she loves them in a weird way thats what makes them such a great couple a perfect balance ,"['olive', 'theory', 'based', 'friends', 'marshall', 'lily', 'hates', 'olives', 'loves', 'weird', 'way', 'makes', 'great', 'couple', 'perfect', 'balance']"
Robin,you know ive had a jar of olives just sitting in my fridge forever,"['know', 'jar', 'olives', 'sitting', 'fridge', 'forever']"
Ted, i can take them off your hands,"['take', 'hands']"
Robin, theyre all yours,[]
Marshall,oh it is on it is on  till the break of dawn,"['till', 'break', 'dawn']"
Lily,wait its only the break of tenthirty what happened,"['wait', 'break', 'tenthirty', 'happened']"
Robin,ive gotta get one of those blue french horns for over my fireplace its gotta be blue its gotta be french,"['ta', 'one', 'blue', 'french', 'horns', 'fireplace', 'ta', 'blue', 'ta', 'french']"
Ted,no green clarinet,"['green', 'clarinet']"
Robin,no,[]
Ted,come on no purple tuba,"['come', 'purple', 'tuba']"
Robin,its a smurf pens were no dice,"['smurf', 'pens', 'dice']"
Robin,um alright ill be right there  im sorry i had a really great time tonight,"['um', 'alright', 'ill', 'right', 'sorry', 'really', 'great', 'time', 'tonight']"
Marshall,so did you kiss her,['kiss']
Ted,no the moment wasnt right  look this woman could be my future wife i want our first kiss to be amazing,"['moment', 'right', 'look', 'woman', 'could', 'future', 'wife', 'want', 'first', 'kiss', 'amazing']"
Lily,aww ted thats so sweet so you chickened out like the little bitch,"['aww', 'ted', 'sweet', 'chickened', 'little', 'bitch']"
Ted,what i did not chicken out you know what i dont need to take first kiss advice from some pirate who hasnt been single since the first week of college,"['chicken', 'know', 'need', 'take', 'first', 'kiss', 'advice', 'pirate', 'single', 'since', 'first', 'week', 'college']"
Lily,ted anyone whos single would tell you the same thing even the dumbest single person alive and if you dont believe mecall him,"['ted', 'anyone', 'whos', 'single', 'tell', 'thing', 'even', 'dumbest', 'single', 'person', 'alive', 'believe', 'mecall']"
Barney, hey loser hows not playing laser tag because playing laser tag is awesome oh i killed you connor dont make me get your mom,"['hey', 'loser', 'hows', 'playing', 'laser', 'tag', 'playing', 'laser', 'tag', 'awesome', 'killed', 'connor', 'make', 'mom']"
Ted,hey listen i need your opinion on something,"['hey', 'listen', 'need', 'opinion', 'something']"
Barney,okay meet me at the bar in fifteen minutesand suit up,"['meet', 'bar', 'fifteen', 'minutesand', 'suit']"
Ted,so these guys think i chickened out what do you think,"['guys', 'think', 'chickened', 'think']"
Barney,i cant believe youre still not wearing a suit,"['cant', 'believe', 'still', 'wearing', 'suit']"
Ted,she didnt even give me the signal,"['even', 'give', 'signal']"
Barney,what is she goannais she goanna bat her eyes at you in morse code  ted  kiss meno you just kiss her,"['goannais', 'goanna', 'bat', 'eyes', 'morse', 'code', 'ted', 'kiss', 'meno', 'kiss']"
Ted,not if you dont get the signal,['signal']
Barney,ee did marshall give me the signal,"['ee', 'marshall', 'give', 'signal']"
Marshall,no  i didnt i swear,['swear']
Barney,but seeat least tonight i get to sleep knowing marshall and me never going to happen you shouldve kissed her,"['seeat', 'least', 'tonight', 'sleep', 'knowing', 'marshall', 'never', 'going', 'happen', 'kissed']"
Ted,urgh i shouldve kissed her what about when she gets back from orlando,"['urgh', 'kissed', 'gets', 'back', 'orlando']"
Barney,a week thats likea year in hot girl time shell forget all about you mark my words you will never see that one again,"['week', 'likea', 'year', 'hot', 'girl', 'time', 'shell', 'forget', 'mark', 'words', 'never', 'see', 'one']"
Ted,there she is,[]
Lily,ooo shes cute  hey carl turn it up,"['ooo', 'cute', 'hey', 'carl', 'turn']"
Robin,persuaded him to reconsider at which point the man came down off the ledge giving this bizarre story a happy ending reporting from,"['persuaded', 'reconsider', 'point', 'man', 'came', 'ledge', 'giving', 'bizarre', 'story', 'happy', 'ending', 'reporting']"
Marshall,huh guy didnt jump,"['huh', 'guy', 'jump']"
Robin, metro one news back to you bill,"['metro', 'one', 'news', 'back', 'bill']"
Ted,im goanna go kiss her right now,"['goanna', 'kiss', 'right']"
Marshall,ohdude its midnight as your future lawyer im goanna advise you thats freakin crazy,"['ohdude', 'midnight', 'future', 'lawyer', 'goanna', 'advise', 'freakin', 'crazy']"
Ted,i never do anything crazy im always waiting for the moment planning the moment well shes leaving tomorrow this may be the only moment im goanna get i gotta do what that guy couldnt i gotta take the leap okay not a perfect metaphor for me its fall in love and get marriedfor him its death,"['never', 'anything', 'crazy', 'always', 'waiting', 'moment', 'planning', 'moment', 'leaving', 'tomorrow', 'may', 'moment', 'goanna', 'ta', 'guy', 'ta', 'take', 'leap', 'perfect', 'metaphor', 'fall', 'love', 'marriedfor', 'death']"
Barney,actually that is a perfect metaphor by the way did i congratulate you two ,"['actually', 'perfect', 'metaphor', 'way', 'congratulate', 'two']"
Ted,im doing this ,[]
Lily,lets go ,['lets']
Marshall,word up,['word']
Lily,were coming with you,['coming']
Barney,alright but under one condition,"['alright', 'one', 'condition']"
Barney, look at you you beautiful bstrd you suited up this is totally going in my blog,"['look', 'beautiful', 'bstrd', 'suited', 'totally', 'going', 'blog']"
Ted, stop the car uhpull over right here i gotta do something,"['stop', 'car', 'uhpull', 'right', 'ta', 'something']"
Ted,excuse me pardon me  enjoy your coffee ,"['excuse', 'pardon', 'enjoy', 'coffee']"
Ted,go go go  everybody brings flowers,"['everybody', 'brings', 'flowers']"
Ted, okay moment of truth wish me luck ,"['moment', 'truth', 'wish', 'luck']"
Barney,teds goanna get it on with a tv reporter  this just in okay ,"['teds', 'goanna', 'tv', 'reporter']"
Lily,kiss her ted kiss her good,"['kiss', 'ted', 'kiss', 'good']"
Marshall,kiss the crap out of that girl,"['kiss', 'crap', 'girl']"
Ted,marshall remember this night when youre the best man at our wedding and you give a speech youre goanna tell this story ,"['marshall', 'remember', 'night', 'best', 'man', 'wedding', 'give', 'speech', 'goanna', 'tell', 'story']"
Barney,why does he get to be the best man  im your best friend,"['best', 'man', 'best', 'friend']"
Ted,not good not good not good not good,"['good', 'good', 'good', 'good']"
Lily,no,[]
Marshall,go back in there,['back']
Barney,youre wearing a suit,"['wearing', 'suit']"
Robin, ted,['ted']
Ted,hi  i was just uh,"['hi', 'uh']"
Robin,come on up,['come']
Marshall,hes in,['hes']
Barney,so  ranjit you mustve done it with a lebanese girl,"['ranjit', 'mustve', 'done', 'lebanese', 'girl']"
Lily,okaythats my barney limit  im goanna see if that bodega has a bathroom ,"['okaythats', 'barney', 'limit', 'goanna', 'see', 'bodega', 'bathroom']"
Barney,the women hot there,"['women', 'hot']"
Barney, simple no would have sufficed  shes lovely,"['simple', 'sufficed', 'lovely']"
Robin,so ted what brings you back to brooklyn at one in the morning in asuit,"['ted', 'brings', 'back', 'brooklyn', 'one', 'morning', 'asuit']"
Ted,i was just hoping to get those olives that you said i could have,"['hoping', 'olives', 'said', 'could']"
Robin,would you like those olives with some gin and vermouth,"['olives', 'gin', 'vermouth']"
Ted,are you trying to get me drunk,"['trying', 'drunk']"
Robin,for starters ,['starters']
Ted, thank you,['thank']
Barney,so marshall this olive theory based on you and lily,"['marshall', 'olive', 'theory', 'based', 'lily']"
Marshall,yeah,[]
Barney,you hate olives lily loves them you cant stand them,"['hate', 'olives', 'lily', 'loves', 'cant', 'stand']"
Marshall,yeah hate olives,"['hate', 'olives']"
Barney,two weeks ago spanish bar on th street dish of olivesyou had some what up,"['two', 'weeks', 'ago', 'spanish', 'bar', 'th', 'street', 'dish', 'olivesyou']"
Marshall, you have to swear that this does not leave this cab,"['swear', 'leave', 'cab']"
Barney,i swear,['swear']
Marshall,on our first date i ordered a greek salad lily asked if she could have my olives i said sure i hate olives,"['first', 'date', 'ordered', 'greek', 'salad', 'lily', 'asked', 'could', 'olives', 'said', 'sure', 'hate', 'olives']"
Barney,but you like olives,['olives']
Marshall,well i was eighteen okay i was a virgin been waiting for my whole life for a pretty girl to want my olives,"['eighteen', 'virgin', 'waiting', 'whole', 'life', 'pretty', 'girl', 'want', 'olives']"
Barney,marshall im going to get you an early wedding present dont get married,"['marshall', 'going', 'early', 'wedding', 'present', 'married']"
Robin,i think i like your olive theory,"['think', 'olive', 'theory']"
Ted,i think i like your french horn,"['think', 'french', 'horn']"
Robin,i think i like your nose,"['think', 'nose']"
Ted,i think im in love with you,"['think', 'love']"
Barney,rshall and barney what,"['rshall', 'barney']"
Robin,what,[]
Barney,come on man you said your stomachs been hurting right you know what that is hunger youre hungry for experience hungry for something new hungry for olives but youre too scared to do anything about it,"['come', 'man', 'said', 'stomachs', 'hurting', 'right', 'know', 'hunger', 'hungry', 'experience', 'hungry', 'something', 'new', 'hungry', 'olives', 'scared', 'anything']"
Marshall,yeah im scared okay but when i think about spending the rest of my life with lily committing forever no other women  doesnt scare me at all im marrying that girl  lily lily i like olives,"['scared', 'think', 'spending', 'rest', 'life', 'lily', 'committing', 'forever', 'women', 'scare', 'marrying', 'girl', 'lily', 'lily', 'olives']"
Lily,well make it work ,"['make', 'work']"
Ted,so orlando you goanna hit disney world,"['orlando', 'goanna', 'hit', 'disney', 'world']"
Robin,you love me,['love']
Ted,oh god i cant believe i said that why did i say that who says that i should just go ,"['god', 'cant', 'believe', 'said', 'say', 'says']"
Robin,hold on  wait a minute  promised you these,"['hold', 'wait', 'minute', 'promised']"
Ted,olives thanks i love you whats wrong with me,"['olives', 'thanks', 'love', 'whats', 'wrong']"
Barney,why are we still sitting here lets go we can still make last call what do you say lil  yo ho ho and a bottle o rum  cuz youre a pirate,"['still', 'sitting', 'lets', 'still', 'make', 'last', 'call', 'say', 'lil', 'yo', 'ho', 'ho', 'bottle', 'rum', 'cuz', 'pirate']"
Lily,okay eye patch gone and we cant just abandon ted if it doesnt go well up there hes gonna need some support,"['eye', 'patch', 'gone', 'cant', 'abandon', 'ted', 'hes', 'need', 'support']"
Marshall,its been like twenty minutes you think theyre doin it,"['twenty', 'minutes', 'think', 'doin']"
Barney,you think theyre doing it in front of the dogs,"['think', 'front', 'dogs']"
Marshall,doggie style ,"['doggie', 'style']"
Barney,i had this girl in college she had a golden retriever,"['girl', 'college', 'golden', 'retriever']"
Lily,okay we can go to the bar just stop talking,"['bar', 'stop', 'talking']"
Barney,hit it ranjit ,"['hit', 'ranjit']"
Ted,so when you tell this story to your friends could you avoid the word psycho i prefereccentric,"['tell', 'story', 'friends', 'could', 'avoid', 'word', 'psycho', 'prefereccentric']"
Robin,good night psycho  ,"['good', 'night', 'psycho']"
Ted,great  umm how do i get to the f train,"['great', 'umm', 'f', 'train']"
Robin,oh umtwo blocks  that way  and take a right,"['umtwo', 'blocks', 'way', 'take', 'right']"
Ted, thanks  you know what  im done being single im not good at it look obviously you cant tell a woman you just met you love her but it sucks that you cant ill tell you something though if a womannot you just some hypothetical womanwere to bare with me through all this i think id make a damn good husband because thats the stuff id be good at stuff like making her laugh and being a good father and walking her five hypothetical dogs being a good kisser,"['thanks', 'know', 'done', 'single', 'good', 'look', 'obviously', 'cant', 'tell', 'woman', 'met', 'love', 'sucks', 'cant', 'ill', 'tell', 'something', 'though', 'womannot', 'hypothetical', 'womanwere', 'bare', 'think', 'id', 'make', 'damn', 'good', 'husband', 'stuff', 'id', 'good', 'stuff', 'making', 'laugh', 'good', 'father', 'walking', 'five', 'hypothetical', 'dogs', 'good', 'kisser']"
Robin,everyone thinks theyre a good kisser,"['everyone', 'thinks', 'good', 'kisser']"
Ted,oh ive got references,['references']
Robin,good night ted ,"['good', 'night', 'ted']"
Ted,and im a good hand shaker,"['good', 'hand', 'shaker']"
Robin,thats a pretty great hand shake ,"['pretty', 'great', 'hand', 'shake']"
Ted,and that was it probably never see her again  what,"['probably', 'never', 'see']"
Marshall,that was the signal,['signal']
Lily,that long lingering handshakeyou shouldve kissed her,"['long', 'lingering', 'handshakeyou', 'kissed']"
Barney,theres no such thing as the signal but yeahthat was the signal,"['theres', 'thing', 'signal', 'yeahthat', 'signal']"
Ted,carl  you guys werent there,"['carl', 'guys']"
Lily,i am so turned on right now,"['turned', 'right']"
Ted,guys trust me ive seen the signal that was not the signal,"['guys', 'trust', 'seen', 'signal', 'signal']"
Barney,yeah ted were not on you anymore,"['ted', 'anymore']"
Marshall, to my fianc,['fianc']
Lily, to the future,['future']
Ted,that was not the signal,['signal']
Barney,i suggest we play a little game i like to call have you met ted,"['suggest', 'play', 'little', 'game', 'call', 'met', 'ted']"
Ted,no no nowere not playing have you met ted,"['nowere', 'playing', 'met', 'ted']"
Barney, hi have you met ted ,"['hi', 'met', 'ted']"
Ted,i think im in love with you,"['think', 'love']"
Robin,what,[]
Marshall,so youre not goanna call her you went from i think im in love with you to im not gonna call her,"['goanna', 'call', 'went', 'think', 'love', 'call']"
Ted,i wasnt in love with her okay i was briefly in love with the abstract idea of getting married that had absolutely nothing to do with robin  robin,"['love', 'briefly', 'love', 'abstract', 'idea', 'getting', 'married', 'absolutely', 'nothing', 'robin', 'robin']"
Robin,hey,['hey']
Lily,look who i ran into,"['look', 'ran']"
Ted,since when do you guys know each other,"['since', 'guys', 'know']"
Robin,uh since about  here lily recognized me from the news and hello sailor,"['uh', 'since', 'lily', 'recognized', 'news', 'hello', 'sailor']"
Ted,they just got engaged,['engaged']
Robin,well i should get back to the station see you guys  nice seeing you ted,"['back', 'station', 'see', 'guys', 'nice', 'seeing', 'ted']"
Ted,yeah you too  damn it,['damn']
Lily,what,[]
Ted,im in love with her,['love']
Barney, no as your sponsor i will not let you relapse you blew it its overmove on,"['sponsor', 'let', 'relapse', 'blew', 'overmove']"
Ted,i dont know i just have this feeling shes the future mrs ted mosby,"['know', 'feeling', 'future', 'mrs', 'ted', 'mosby']"
Ted,lily you squeaked,"['lily', 'squeaked']"
Ted,she said something about me didnt she come on spill it red,"['said', 'something', 'come', 'spill', 'red']"
Lily,fine,['fine']
Lily,so what do we think of ted,"['think', 'ted']"
Robin, teds something else,"['teds', 'something', 'else']"
Ted,huh im gonna spin that as good lots of guys are something im something else,"['huh', 'spin', 'good', 'lots', 'guys', 'something', 'something', 'else']"
Robin,comes on a little strong,"['comes', 'little', 'strong']"
Ted,butthats part of my charm,"['butthats', 'part', 'charm']"
Lily,but thats part of his charm,"['part', 'charm']"
Robin,oh totally i mean hes sweet hes charming hes just looking for something a little bit more serious than i am i mean the most i can handle right now is something casual this just stays between us right,"['totally', 'mean', 'hes', 'sweet', 'hes', 'charming', 'hes', 'looking', 'something', 'little', 'bit', 'serious', 'mean', 'handle', 'right', 'something', 'casual', 'stays', 'us', 'right']"
Lily,are you kidding this flapperfor knocks,"['kidding', 'flapperfor', 'knocks']"
Lily, oops,['oops']
Ted,she wants casual okay ill be casual im gonna be a mushroom cloud of casual you know why cause its a game i wanted to skip to the end and do the happily ever after thing but you dont get there unless you play the game,"['wants', 'casual', 'ill', 'casual', 'mushroom', 'cloud', 'casual', 'know', 'cause', 'game', 'wanted', 'skip', 'end', 'happily', 'ever', 'thing', 'unless', 'play', 'game']"
Marshall,sore you gonna ask her out,"['sore', 'ask']"
Ted,yeahno i cant ask her out because if i ask her out im asking her out so how do i ask her out without asking her out ,"['yeahno', 'cant', 'ask', 'ask', 'asking', 'ask', 'without', 'asking']"
Lily,did you guys get high,"['guys', 'high']"
Ted,i got it i dont ask her out i invite her to our party next friday,"['ask', 'invite', 'party', 'next', 'friday']"
Marshall,were having a party next friday,"['party', 'next', 'friday']"
Ted,we are nowcasual,['nowcasual']
Barney,yeah cuz nothing says casual like inviting a hundred people over just to mac on one girl oh and lilythats my leg,"['cuz', 'nothing', 'says', 'casual', 'inviting', 'hundred', 'people', 'mac', 'one', 'girl', 'lilythats', 'leg']"
Lily,you waited five minutes to tell me that,"['waited', 'five', 'minutes', 'tell']"
Marshall,alrightso call her up,"['alrightso', 'call']"
Ted,nocallings not casual i just gotta bump into her somewhere if only i knew her schedule i could arrange a chance encounter,"['nocallings', 'casual', 'ta', 'bump', 'somewhere', 'knew', 'schedule', 'could', 'arrange', 'chance', 'encounter']"
Lily,thats great ted youll be the most casual stalker ever,"['great', 'ted', 'casual', 'stalker', 'ever']"
Marshall,baby no i have a twentyfive paged paper on unconstitutional law due on monday i barely started,"['baby', 'twentyfive', 'paged', 'paper', 'unconstitutional', 'law', 'due', 'monday', 'barely', 'started']"
Lily,hey im just sitting here wearing my ring my beautiful ring kind of makes wearing other stuff seem wrong like my shirt kind of dont wanna wear my shirt anymore or my underwear ohthats rightim not wearing any,"['hey', 'sitting', 'wearing', 'ring', 'beautiful', 'ring', 'kind', 'makes', 'wearing', 'stuff', 'seem', 'wrong', 'shirt', 'kind', 'wear', 'shirt', 'anymore', 'underwear', 'ohthats', 'rightim', 'wearing']"
Marshall, no underwear,['underwear']
Lily,not slightly,['slightly']
Ted,guys boundaries there she is,"['guys', 'boundaries']"
Robin, thanks bill im reporting from the razzle dazzle supermarket on th in columbus,"['thanks', 'bill', 'reporting', 'razzle', 'dazzle', 'supermarket', 'th', 'columbus']"
Ted,th in columbus  game on ,"['th', 'columbus', 'game']"
Robin,where four year old leroy ellensburg climbed inside a grab a prize machine  and gotten stuck,"['four', 'year', 'old', 'leroy', 'ellensburg', 'climbed', 'inside', 'grab', 'prize', 'machine', 'gotten', 'stuck']"
Robin,and on the pursuit of a stuffed purple giraffe  from metro news one im robin scherbatsky ,"['pursuit', 'stuffed', 'purple', 'giraffe', 'metro', 'news', 'one', 'robin', 'scherbatsky']"
Robin, thanks  ted,"['thanks', 'ted']"
Ted, robin wow what are the odds,"['robin', 'wow', 'odds']"
Robin,what are you doing here,[]
Ted,oh you know justuhshopping foruhdip  i love dip i mean i dont love dip i like dip as a friend you know souhhey youuhreporting a news story or something ,"['know', 'justuhshopping', 'foruhdip', 'love', 'dip', 'mean', 'love', 'dip', 'dip', 'friend', 'know', 'souhhey', 'youuhreporting', 'news', 'story', 'something']"
